,real_time-request-bases,real_time-request-end,real_time-request-exchanges,real_time-request-interval,real_time-request-methodology-vwm_twap-kind,real_time-request-methodology-vwm_twap-vwm_partition_size,real_time-request-percentiles,real_time-request-quote,real_time-request-semi_length_kind,real_time-request-semi_length_window,real_time-request-start,real_time-update_cron
KK_PR_AAVEUSD,"[{'asset': 'aave', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'hitb', 'krkn', 'oslx']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ADAUSD,"[{'asset': 'ada', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ALGOUSD,"[{'asset': 'algo', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_ATOMUSD,"[{'asset': 'atom', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_AVAXUSD,"[{'asset': 'avax', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_AXSUSD,"[{'asset': 'axs', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'gmni', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_BATUSD,"[{'asset': 'bat', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_BCHUSD,"[{'asset': 'bch', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'itbi', 'krkn', 'lmax', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_BNBUSD,"[{'asset': 'bnb', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,['bnus'],300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_BNBUSD_1S,"[{'asset': 'bnb', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,['bnus'],300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/1 * * * * * *
